Timestamp,CPU_Percent,RAM_Used_Percent,Disk_Util_Percent,Mode,Device
2025-06-01T19:12:59.0061863Z,0.00,71.86,0.00,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:00.0281763Z,4.82,71.84,1.30,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:01.0460869Z,3.87,71.78,0.70,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:02.0668017Z,3.90,71.79,0.10,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:03.0906165Z,3.25,71.76,1.00,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:04.1128038Z,5.04,72.37,1.50,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:05.1288589Z,10.99,75.56,0.00,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:06.146686Z,13.82,78.48,3.20,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:07.1671077Z,14.32,81.72,0.60,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:08.1854439Z,14.32,84.52,4.40,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:09.2444616Z,56.87,86.59,4.50,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:10.2688705Z,13.57,79.27,37.80,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:11.2861972Z,2.95,79.21,1.80,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:12.2961453Z,4.66,79.21,0.90,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:13.3085516Z,2.69,79.19,0.00,ram,DESKTOP-S3BHPOS
2025-06-01T19:13:14.322251Z,9.02,79.19,3.80,ram,DESKTOP-S3BHPOS
2025-06-04T20:40:06.719232147Z,0.00,77.69,0.00,ram,andy
2025-06-04T20:40:07.722498242Z,2.06,77.65,0.30,ram,andy
2025-06-04T20:40:08.725660908Z,3.45,77.65,0.00,ram,andy
2025-06-04T20:40:09.730372482Z,3.00,77.65,0.40,ram,andy
2025-06-04T20:40:10.734188855Z,5.00,77.67,0.00,ram,andy
2025-06-04T20:40:11.737226817Z,4.79,77.71,3.40,ram,andy
2025-06-04T20:40:12.740661353Z,8.29,77.70,0.00,ram,andy
2025-06-04T20:40:13.743736243Z,10.85,77.67,13.20,ram,andy
2025-06-04T20:40:14.747044451Z,9.35,77.75,9.60,ram,andy
2025-06-04T20:40:15.750589231Z,8.77,77.50,13.80,ram,andy
2025-06-04T20:40:16.753815475Z,9.38,77.64,11.90,ram,andy
2025-06-04T20:40:17.756772662Z,14.25,77.45,25.50,ram,andy
2025-06-04T20:40:18.772780565Z,8.78,77.43,5.70,ram,andy
2025-06-04T20:40:19.776020104Z,7.94,77.42,5.80,ram,andy
2025-06-04T20:40:20.779216163Z,8.04,77.39,13.50,ram,andy
2025-06-04T20:40:21.78240516Z,8.03,77.41,13.50,ram,andy
2025-06-04T20:40:22.785522099Z,7.99,77.45,14.70,ram,andy
2025-06-04T20:40:23.789038671Z,7.21,77.42,15.20,ram,andy
2025-06-04T20:40:24.791611492Z,7.16,78.45,6.80,ram,andy
2025-06-04T20:40:25.795078195Z,1.78,78.44,1.40,ram,andy
2025-06-04T20:40:26.798675109Z,1.22,78.44,0.00,ram,andy
2025-06-04T20:40:27.802211794Z,1.22,78.43,0.00,ram,andy
2025-06-04T20:40:28.805806668Z,1.05,78.43,0.00,ram,andy
2025-06-04T20:40:29.809022136Z,1.22,78.42,5.80,ram,andy
