Timestamp,CPU_Percent,RAM_Used_Percent,Disk_Util_Percent,Mode,Device
2025-06-01T19:13:36.9631349Z,0.00,79.58,0.00,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:38.027166Z,25.22,79.93,3.30,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:39.0480427Z,13.24,80.03,3.00,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:40.0616008Z,6.81,79.95,1.40,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:41.0724063Z,7.11,79.92,2.30,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:42.0846394Z,11.93,80.50,1.30,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:43.0959899Z,11.87,83.37,1.80,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:44.1150732Z,15.50,85.86,4.50,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:45.1262435Z,20.10,88.27,1.40,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:46.1390441Z,16.41,90.51,2.70,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:47.1505331Z,25.48,89.95,24.60,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:48.1697862Z,24.90,92.96,14.50,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:49.1930982Z,40.24,94.83,9.70,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:50.2064139Z,45.97,96.46,5.50,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:51.2307116Z,51.28,94.69,43.40,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:52.241826Z,30.14,94.42,13.10,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:53.2586073Z,24.11,96.11,1.80,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:54.2791201Z,26.88,98.64,23.50,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:55.3013257Z,53.94,94.74,100.00,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:56.3132977Z,40.95,95.36,100.00,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:57.3369984Z,23.39,90.60,100.00,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:58.3480981Z,27.18,90.42,100.00,swap,DESKTOP-S3BHPOS
2025-06-01T19:13:59.3688892Z,21.15,92.30,16.10,swap,DESKTOP-S3BHPOS
2025-06-01T19:14:00.3862043Z,21.97,91.05,81.60,swap,DESKTOP-S3BHPOS
2025-06-01T19:14:01.412792Z,22.39,91.66,31.30,swap,DESKTOP-S3BHPOS
2025-06-01T19:14:02.4268231Z,19.13,94.32,17.90,swap,DESKTOP-S3BHPOS
2025-06-01T19:14:03.443118Z,17.66,95.86,50.00,swap,DESKTOP-S3BHPOS
2025-06-01T19:14:04.4682316Z,29.67,95.90,100.00,swap,DESKTOP-S3BHPOS
2025-06-01T19:14:05.4954328Z,20.28,98.16,29.00,swap,DESKTOP-S3BHPOS
2025-06-01T19:14:06.620071Z,28.92,97.60,100.00,swap,DESKTOP-S3BHPOS
2025-06-01T19:14:07.6416963Z,32.21,91.00,100.00,swap,DESKTOP-S3BHPOS
2025-06-01T19:14:08.6708898Z,18.94,91.64,100.00,swap,DESKTOP-S3BHPOS
2025-06-01T19:14:09.6948839Z,16.63,92.53,100.00,swap,DESKTOP-S3BHPOS
2025-06-01T19:14:10.7058383Z,20.38,93.04,100.00,swap,DESKTOP-S3BHPOS
2025-06-01T19:14:11.7205502Z,19.82,94.56,100.00,swap,DESKTOP-S3BHPOS
2025-06-01T19:14:12.7447646Z,22.19,92.30,54.80,swap,DESKTOP-S3BHPOS
2025-06-01T19:14:13.7666245Z,7.16,92.48,16.40,swap,DESKTOP-S3BHPOS
2025-06-01T19:14:14.7777499Z,8.14,92.74,18.50,swap,DESKTOP-S3BHPOS
2025-06-01T19:14:15.7921534Z,13.15,93.55,60.90,swap,DESKTOP-S3BHPOS
2025-06-01T19:14:16.8131844Z,9.55,93.73,22.60,swap,DESKTOP-S3BHPOS
2025-06-01T19:14:17.8306903Z,8.03,94.03,11.60,swap,DESKTOP-S3BHPOS
2025-06-01T19:14:18.8498397Z,13.03,94.43,18.90,swap,DESKTOP-S3BHPOS
2025-06-04T20:41:08.11524103Z,0.00,79.11,0.00,swap,andy
2025-06-04T20:41:09.11860677Z,1.44,79.10,1.90,swap,andy
2025-06-04T20:41:10.122062775Z,1.11,79.08,1.40,swap,andy
2025-06-04T20:41:11.125039634Z,1.28,79.04,5.20,swap,andy
2025-06-04T20:41:12.127925207Z,1.77,78.99,5.50,swap,andy
2025-06-04T20:41:13.130539648Z,1.44,78.96,2.20,swap,andy
2025-06-04T20:41:14.133234503Z,6.44,78.85,0.40,swap,andy
2025-06-04T20:41:15.136133074Z,6.89,78.85,9.20,swap,andy
2025-06-04T20:41:16.139665939Z,8.42,78.72,12.90,swap,andy
2025-06-04T20:41:17.142542509Z,9.10,78.74,15.70,swap,andy
2025-06-04T20:41:18.14707881Z,8.49,78.58,18.30,swap,andy
2025-06-04T20:41:19.150021481Z,7.59,78.43,15.40,swap,andy
2025-06-04T20:41:20.159424742Z,7.37,78.58,11.80,swap,andy
2025-06-04T20:41:21.173111429Z,7.49,78.53,15.90,swap,andy
2025-06-04T20:41:22.176991714Z,8.18,78.56,22.50,swap,andy
2025-06-04T20:41:23.180242215Z,7.54,78.56,12.20,swap,andy
2025-06-04T20:41:24.183075589Z,6.99,78.56,6.50,swap,andy
2025-06-04T20:41:25.186161136Z,6.93,78.55,9.30,swap,andy
2025-06-04T20:41:26.188794136Z,7.60,78.56,14.40,swap,andy
2025-06-04T20:41:27.192251024Z,7.44,78.55,11.00,swap,andy
2025-06-04T20:41:28.195039736Z,9.32,78.61,18.90,swap,andy
2025-06-04T20:41:29.199041349Z,7.93,78.40,14.60,swap,andy
2025-06-04T20:41:30.214100617Z,8.48,78.66,25.00,swap,andy
2025-06-04T20:41:31.216822906Z,9.21,78.65,24.50,swap,andy
2025-06-04T20:41:32.220541052Z,8.04,78.40,6.20,swap,andy
2025-06-04T20:41:33.223270511Z,8.59,78.61,15.00,swap,andy
2025-06-04T20:41:34.226640164Z,9.21,78.50,14.90,swap,andy
2025-06-04T20:41:35.229569323Z,9.39,78.55,21.30,swap,andy
2025-06-04T20:41:36.235937286Z,7.89,78.58,17.60,swap,andy
2025-06-04T20:41:37.239142506Z,8.46,78.60,21.60,swap,andy
2025-06-04T20:41:38.242067969Z,6.88,78.53,11.30,swap,andy
2025-06-04T20:41:39.253051729Z,7.10,78.55,9.90,swap,andy
2025-06-04T20:41:40.255713579Z,7.77,78.56,15.20,swap,andy
2025-06-04T20:41:41.25844619Z,7.26,78.56,13.50,swap,andy
2025-06-04T20:41:42.261176578Z,8.67,78.56,18.60,swap,andy
2025-06-04T20:41:43.269125112Z,7.65,78.58,12.40,swap,andy
2025-06-04T20:41:44.285013168Z,7.34,78.62,13.80,swap,andy
2025-06-04T20:41:45.312608759Z,7.66,78.70,19.40,swap,andy
2025-06-04T20:41:46.315685575Z,7.75,78.65,8.50,swap,andy
2025-06-04T20:41:47.318376205Z,8.03,78.71,13.30,swap,andy
2025-06-04T20:41:48.321041228Z,8.66,78.73,16.00,swap,andy
2025-06-04T20:41:49.32372161Z,7.60,78.74,17.40,swap,andy
2025-06-04T20:41:50.326714331Z,13.55,78.49,30.20,swap,andy
2025-06-04T20:41:51.342165507Z,6.96,78.61,10.90,swap,andy
2025-06-04T20:41:52.34487232Z,7.38,78.63,11.30,swap,andy
2025-06-04T20:41:53.347611362Z,7.38,78.70,14.70,swap,andy
2025-06-04T20:41:54.353484924Z,7.78,78.64,23.50,swap,andy
2025-06-04T20:41:55.356269919Z,7.19,78.68,12.70,swap,andy
2025-06-04T20:41:56.358962129Z,8.04,78.78,15.30,swap,andy
2025-06-04T20:41:57.364173145Z,7.65,78.82,13.20,swap,andy
2025-06-04T20:41:58.366633839Z,7.58,78.78,11.10,swap,andy
2025-06-04T20:41:59.369367021Z,7.33,78.75,12.80,swap,andy
2025-06-04T20:42:00.372361567Z,8.38,78.68,24.70,swap,andy
2025-06-04T20:42:01.376029519Z,10.25,78.59,53.10,swap,andy
2025-06-04T20:42:02.379483981Z,9.16,78.75,57.80,swap,andy
2025-06-04T20:42:03.383193618Z,8.95,78.51,61.70,swap,andy
2025-06-04T20:42:04.388073707Z,9.82,78.52,60.90,swap,andy
2025-06-04T20:42:05.391088093Z,7.87,78.69,65.00,swap,andy
2025-06-04T20:42:06.394098422Z,8.85,78.76,61.70,swap,andy
2025-06-04T20:42:07.397346354Z,10.73,78.59,61.10,swap,andy
2025-06-04T20:42:08.400414897Z,9.18,79.02,58.80,swap,andy
2025-06-04T20:42:09.403006167Z,7.60,78.80,48.70,swap,andy
2025-06-04T20:42:10.406504417Z,1.28,78.94,10.80,swap,andy
2025-06-04T20:42:11.409185839Z,1.72,79.15,16.90,swap,andy
2025-06-04T20:42:12.412581371Z,1.50,79.34,4.20,swap,andy
2025-06-04T20:42:13.415838131Z,1.22,79.34,1.30,swap,andy
2025-06-04T20:42:14.419173495Z,1.05,79.35,3.80,swap,andy
