Timestamp,CPU_Percent,RAM_Used_Percent,Disk_Util_Percent,Mode,Device
2025-06-01T19:12:47.5705344Z,0.00,63.41,0.00,ram,DESKTOP-S3BHPOS
2025-06-01T19:12:48.6185844Z,8.32,63.53,1.70,ram,DESKTOP-S3BHPOS
2025-06-01T19:12:49.6465738Z,11.91,63.56,1.80,ram,DESKTOP-S3BHPOS
2025-06-01T19:12:50.6756616Z,12.27,63.56,0.60,ram,DESKTOP-S3BHPOS
2025-06-01T19:12:51.7086357Z,16.58,66.00,1.40,ram,DESKTOP-S3BHPOS
2025-06-01T19:12:52.7371151Z,16.06,69.13,0.50,ram,DESKTOP-S3BHPOS
2025-06-01T19:12:53.7673508Z,13.94,72.29,3.20,ram,DESKTOP-S3BHPOS
2025-06-01T19:12:54.7898753Z,8.65,72.20,2.00,ram,DESKTOP-S3BHPOS
2025-06-01T19:12:55.8119962Z,3.54,72.16,2.00,ram,DESKTOP-S3BHPOS
2025-06-01T19:12:56.8308776Z,9.65,71.78,1.30,ram,DESKTOP-S3BHPOS
2025-06-01T19:12:57.8536361Z,4.23,71.82,1.30,ram,DESKTOP-S3BHPOS
2025-06-01T19:12:58.8757833Z,4.63,71.85,4.30,ram,DESKTOP-S3BHPOS
2025-06-04T20:39:49.612462176Z,0.00,74.75,0.00,ram,andy
2025-06-04T20:39:50.619450094Z,1.82,75.35,0.00,ram,andy
2025-06-04T20:39:51.624219285Z,1.88,75.30,1.40,ram,andy
2025-06-04T20:39:52.628852801Z,2.44,75.32,0.00,ram,andy
2025-06-04T20:39:53.632423979Z,3.77,75.28,0.50,ram,andy
2025-06-04T20:39:54.6365893Z,5.95,75.28,0.70,ram,andy
2025-06-04T20:39:55.640114222Z,7.67,75.29,0.00,ram,andy
2025-06-04T20:39:56.644531909Z,8.40,75.29,9.90,ram,andy
2025-06-04T20:39:57.649020516Z,8.50,75.29,11.80,ram,andy
2025-06-04T20:39:58.652781294Z,8.43,75.29,12.00,ram,andy
2025-06-04T20:39:59.65841027Z,7.39,75.30,11.30,ram,andy
2025-06-04T20:40:00.66192291Z,10.32,77.54,5.90,ram,andy
2025-06-04T20:40:01.665699586Z,4.28,77.64,3.20,ram,andy
2025-06-04T20:40:02.669743452Z,3.22,77.91,0.30,ram,andy
2025-06-04T20:40:03.67339125Z,1.11,77.91,0.00,ram,andy
2025-06-04T20:40:04.676909846Z,2.39,77.89,0.40,ram,andy
2025-06-04T20:40:05.680330751Z,4.62,77.60,12.30,ram,andy
2025-06-04T20:40:06.683527115Z,1.77,77.63,0.00,ram,andy
